Value,Type,Reference,Bedrooms,Bathrooms,Furnishing,Size,Amenities,Agency,Location
"28,000 QAR Monthly",Villa,VI4216,4,4,Partly furnished,"                                        5,382 sqft                          /              500 sqm                      ",,Sloanes Real Estate Brokers, West Bay Lagoon Villas - West Bay Lagoon - West Bay Lagoon - Doha
"21,000 QAR Monthly",Villa,nelsonpark-1892454,4 + Maids Room,6,Partly furnished,"                                        4,306 sqft                          /              400 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Covered Parking - Kitchen Appliances - Maids Room - Pets Allowed - Private Garden - Security - Shared Gym - Shared Pool,NelsonPark Property , Al Messila - Al Messila - Doha
"8,500 QAR Monthly",Compound,Gharaffa Villa Compound,4,4,Partly furnished,"                                        1,894 sqft                          /              176 sqm                      ",Covered Parking - Kitchen Appliances - Security,Al Dar Properties, Noor Complex - Al Gharrafa - Doha
"14,000 QAR Monthly",Villa,BIH-JH-1125,4 + Maids Room,4,Partly furnished,"                                        3,229 sqft                          /              300 sqm                      ",Covered Parking - Kitchen Appliances - Maids Room - Study - View of Landmark,Be In Homes Real Estate, Umm Al Seneem Street - Ain Khaled - Doha
"15,000 QAR Monthly",Apartment,L1598DA,4 + Maids Room,6,Partly furnished,"                                        3,401 sqft                          /              316 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Children's Play Area - Covered Parking - Kitchen Appliances - Maids Room - Pets Allowed - Security - Shared Gym - Shared Pool - View of Landmark - Walk-in Closet,Gulf Avenues Real Estate, Al Waab Street - Al Waab - Doha
"11,000 QAR Monthly",Villa,VH2495,4 + Maids Room,4,Unfurnished,"                                        3,767 sqft                          /              350 sqm                      ",Covered Parking - Maids Room - Pets Allowed - Private Garden,Mirage International Property Consultants, Ain Khaled Villas - Ain Khaled - Doha
"9,500 QAR Monthly",Compound,BIH-JH-1232,4,4,Unfurnished,"                                        3,767 sqft                          /              350 sqm                      ",Built in Wardrobes - Covered Parking - Pets Allowed - Security - Shared Gym - Shared Pool,Be In Homes Real Estate, Al Dana st - Muraikh - AlMuraikh - Doha
"15,000 QAR Monthly",Villa,NPP-1879790-NPR,4 + Maids Room,4,Unfurnished,"                                        3,767 sqft                          /              350 sqm                      ",Built in Wardrobes - Central A/C - Maids Room - Security - Shared Gym - Shared Pool,NelsonPark Property , Al Hilal - Al Hilal - Doha
"9,500 QAR Monthly",Compound,BIH-JH-1241,4,4,Unfurnished,"                                        3,767 sqft                          /              350 sqm                      ",Built in Wardrobes - Covered Parking - Pets Allowed - Security - Shared Gym - Shared Pool,Be In Homes Real Estate, Al Dana st - Muraikh - AlMuraikh - Doha
"9,000 QAR Monthly",Villa,beyoot-1908382,4,5,Furnished,"                                        2,691 sqft                          /              250 sqm                      ",Built in Wardrobes - Covered Parking - Kitchen Appliances - Private Gym - Private Pool - Security - Shared Gym - Shared Pool,Beyoot Real Estate, Souk Al gharaffa - Al Gharrafa - Doha
"9,000 QAR Monthly",Compound,watsons-1917986,4 + Maids Room,4,Unfurnished,"                                        3,767 sqft                          /              350 sqm                      ",Covered Parking - Maids Room - Shared Gym - Shared Pool,Watsons Properties, Al Hanaa Street - Al Gharrafa - Doha
"16,500 QAR Monthly",Villa,AKG/04/villa/SP(2),4 + Maids Room,4,Unfurnished,"                                        2,508 sqft                          /              233 sqm                      ",Central A/C - Covered Parking - Maids Room - Private Pool - Shared Gym - Shared Pool - Shared Spa,Al Asmakh Real Estate, Ain Khalid Gate - Ain Khalid Gate - Ain Khaled - Doha
"14,000 QAR Monthly",Compound,nelsonpark-1892750,4 + Maids Room,5,Unfurnished,"                                        3,229 sqft                          /              300 sqm                      ",Balcony - Built in Wardrobes - Covered Parking - Maids Room - Pets Allowed - Private Garden - Security - Shared Gym - Shared Pool,NelsonPark Property , Al Waab Street - Al Waab - Doha
"13,000 QAR Monthly",Compound,nelsonpark-1892739,4 + Maids Room,5,Furnished,"                                        2,691 sqft                          /              250 sqm                      ",Built in Wardrobes - Covered Parking - Kitchen Appliances - Maids Room - Pets Allowed - Private Garden - Security - Shared Gym - Shared Pool,NelsonPark Property , Wadi Al Markh - Muraikh - AlMuraikh - Doha
"12,000 QAR Monthly",Villa,NPP-1886899-NPR,4 + Maids Room,3,Unfurnished,"                                        2,691 sqft                          /              250 sqm                      ",Central A/C - Kitchen Appliances - Maids Room - Security - Shared Gym - Shared Pool,NelsonPark Property , Muaither South - Muaither South - Muaither Area - Doha
"28,000 QAR Monthly",Villa,WBLV4BS,4 + Maids Room,6,Partly furnished,"                                        5,382 sqft                          /              500 sqm                      ",Balcony - Central A/C - Covered Parking - Kitchen Appliances - Maids Room - Private Garden - Security - Shared Pool - View of Water,MS Properties, West Bay Lagoon Villas - West Bay Lagoon - West Bay Lagoon - Doha
"9,500 QAR Monthly",Villa,HDR-23076,4,3,Unfurnished,"                                        3,229 sqft                          /              300 sqm                      ",Shared Gym - Shared Pool,Home Dealers Real Estate, Al Dana st - Muraikh - AlMuraikh - Doha
"12,000 QAR Monthly",Villa,ASSAMSVKP4-1,4,3,Unfurnished,"                                        3,229 sqft                          /              300 sqm                      ",Balcony - Built in Wardrobes - Covered Parking - Maid Service - Pets Allowed - Private Garden - Study - Walk-in Closet,UPO Real Estate W.L.L., Al Sadd Road - Al Sadd - Doha
"10,000 QAR Monthly",Villa,VIP038,4,5,Partly furnished,"                                        4,198 sqft                          /              390 sqm                      ",Built in Wardrobes - Central A/C - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - Walk-in Closet,Just Real Estate , Umm Salal Mahammad - Umm Salal Mohammad - Doha
"10,000 QAR Monthly",Villa,VIP038,4,5,Partly furnished,"                                        4,198 sqft                          /              390 sqm                      ",Built in Wardrobes - Central A/C - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - Walk-in Closet,Just Real Estate , Umm Salal Mahammad - Umm Salal Mohammad - Doha
"9,500 QAR Monthly",Compound,BIH-JH-1234,4,4,Unfurnished,"                                        3,767 sqft                          /              350 sqm                      ",Built in Wardrobes - Covered Parking - Pets Allowed - Security - Shared Gym - Shared Pool,Be In Homes Real Estate, Al Dana st - Muraikh - AlMuraikh - Doha
"9,500 QAR Monthly",Compound,BIH-JH-1221,4,4,Unfurnished,"                                        3,767 sqft                          /              350 sqm                      ",Built in Wardrobes - Covered Parking - Pets Allowed - Security - Shared Gym - Shared Pool,Be In Homes Real Estate, Aspire Tower - Al Waab - Al Waab - Doha
"16,000 QAR Monthly",Villa,L1765DA,4 + Maids Room,4,Partly furnished,"                                        3,767 sqft                          /              350 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Children's Play Area - Covered Parking - Kitchen Appliances - Maids Room - Security - Shared Gym - Shared Pool,Gulf Avenues Real Estate, Al Ain Gardens - Ain Khaled - Ain Khaled - Doha
"16,000 QAR Monthly",Villa,L1764DA,4 + Maids Room,5,Furnished,"                                        3,907 sqft                          /              363 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Children's Play Area - Covered Parking - Kitchen Appliances - Maids Room - Security - Shared Gym - Shared Pool,Gulf Avenues Real Estate, Abu Sidra - Abu Sidra - Al Rayyan - Doha
"23,000 QAR Monthly",Villa,nelsonpark-1817746,4 + Maids Room,5,Partly furnished,"                                        4,844 sqft                          /              450 sqm                      ",Built in Wardrobes - Central A/C - Covered Parking - Kitchen Appliances - Maids Room - Pets Allowed - Private Garden - Security - Shared Pool - View of Water,NelsonPark Property , North Gate - West Bay Lagoon - Doha
"10,000 QAR Monthly",Villa,MA-110,4,3,Unfurnished,"                                        3,229 sqft                          /              300 sqm                      ",Security - Shared Gym - Shared Pool,GOLDEN KEY LUXURY REAL ESTATE , Al Thumama - Al Thumama - Doha
