Value,Type,Reference,Bedrooms,Bathrooms,Furnishing,Size,Amenities,Agency,Location
"14,000 QAR Monthly",Townhouse,TH11VBL1-77,1,1,Furnished,"                                        1,668 sqft                          /              155 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark - View of Water,FGREALTY Qatar, Viva West - Viva Bahriyah - The Pearl - Doha
"8,000 QAR Monthly",Apartment,magicqa-1833123,1,1,Furnished,"                                        1,593 sqft                          /              148 sqm                      ",Balcony - Central A/C - Concierge - Covered Parking - Private Gym - Private Pool - Security,Magic Real Estate, Tower 8 - Porto Arabia - The Pearl - Doha
"6,500 QAR Monthly",Apartment,BIH-JH-0927,1,2,Unfurnished,                                        807 sqft                          /              75 sqm                      ,Central A/C - Concierge - Covered Parking - Kitchen Appliances - Maid Service - Private Jacuzzi - Private Pool - Security - Shared Gym - Shared Pool,Be In Homes Real Estate, Al Sadd Road - Al Sadd - Doha
"7,500 QAR Monthly",Apartment,KP0014,1,1,Partly furnished,                                        11 sqft                          /              1 sqm                      ,Concierge - Shared Gym - Shared Pool - Study,Key Properties, Two Porto Arabia - Porto Arabia - The Pearl - Doha
"12,100 QAR Monthly",Apartment,bhomesqa-1849352,1,2,Furnished,"                                        1,378 sqft                          /              128 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark - View of Water,Better Homes Qatar, Viva Central - Viva Bahriyah - The Pearl - Doha
"8,500 QAR Monthly",Apartment,P1-L088964,1,2,Unfurnished,"                                        1,055 sqft                          /              98 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,Steps Real Estate, Tower 13 - Porto Arabia - The Pearl - Doha
"11,500 QAR Monthly",Apartment,bhomesqa-1680824,1,2,Furnished,"                                        1,184 sqft                          /              110 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - Shared Spa,Better Homes Qatar, Viva Central - Viva Bahriyah - The Pearl - Doha
"9,000 QAR Monthly",Apartment,9096,1,2,Partly furnished,"                                        1,249 sqft                          /              116 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool,25 Spaces Real Estate, East Porto Drive - Porto Arabia - The Pearl - Doha
"8,000 QAR Monthly",Apartment,empireestate-1676910,1,2,Partly furnished,"                                        1,292 sqft                          /              120 sqm                      ",Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - View of Water,Empire Estate , East Porto Drive - Porto Arabia - The Pearl - Doha
"9,000 QAR Monthly",Apartment,wcp_281006,1,2,Partly furnished,"                                        1,313 sqft                          /              122 sqm                      ",Balcony - Central A/C - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark - View of Water,World Class Properties, West Porto Drive - Porto Arabia - The Pearl - Doha
"13,000 QAR Monthly",Townhouse,TPG-R-1044,1,2,Partly furnished,                                        936 sqft                          /              87 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,The Pearl Gates, Viva East - Viva Bahriyah - The Pearl - Doha
"4,500 QAR Monthly",Apartment,Corniche-001,1,1,Furnished,                                        538 sqft                          /              50 sqm                      ,Central A/C - Concierge - Pets Allowed - Security - Shared Gym - View of Water,Bloom Properties , Al Khair Tower - Corniche Road - Corniche Road - Doha
"15,000 QAR Monthly",Apartment,kempinski-1522967,1,1,Furnished,                                        775 sqft                          /              72 sqm                      ,Built in Wardrobes - Central A/C - Covered Parking - Maid Service - Security - Shared Gym - Shared Pool,Kempinski Residences & Suites Doha, Kempinski Residences and Suites - West Bay - Doha
"8,000 QAR Monthly",Apartment,AP11VBL4-28,1,1,Partly furnished,"                                        1,259 sqft                          /              117 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - View of Landmark,FGREALTY Qatar, Viva West - Viva Bahriyah - The Pearl - Doha
"7,500 QAR Monthly",Apartment,bhomesqa-1678092,1,2,Furnished,                                        969 sqft                          /              90 sqm                      ,Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym,Better Homes Qatar, Old Al Ghanim - Al Ghanim - Doha
"7,500 QAR Monthly",Apartment,HDR-12378,1,2,Partly furnished,"                                        1,313 sqft                          /              122 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool,Home Dealers Real Estate, West Porto Drive - Porto Arabia - The Pearl - Doha
"11,500 QAR Monthly",Apartment,coreo-1602216,1,1,Partly furnished,"                                        1,528 sqft                          /              142 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Shared Gym - Shared Pool - View of Water,Coreo Real Estate , Tower 31 - Porto Arabia - The Pearl - Doha
"6,000 QAR Monthly",Apartment,royalmirag-624387,1,1,Furnished,                                        700 sqft                          /              65 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Covered Parking - Kitchen Appliances - Shared Gym,Royal Mirage , Royal Mirage Hotel - Musheireb - Doha
"9,000 QAR Monthly",Apartment,opal-1902565,1,2,Unfurnished,"                                        1,109 sqft                          /              103 sqm                      ",Covered Parking - Security - Shared Gym - Shared Pool,Opal Real Estate W.L.L, Tower 7 (Ferrari Tower) - Porto Arabia - The Pearl - Doha
"10,000 QAR Monthly",Apartment,bhomesqa-1888140,1,2,Partly furnished,                                        861 sqft                          /              80 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Kitchen Appliances - Security - View of Landmark,Better Homes Qatar, Gondola - Qanat Quartier - The Pearl - Doha
"10,500 QAR Monthly",Apartment,L1742DA,1,2,Partly furnished,"                                        1,270 sqft                          /              118 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Children's Play Area - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool,Gulf Avenues Real Estate, Viva East - Viva Bahriyah - The Pearl - Doha
"8,000 QAR Monthly",Apartment,dohaavenue-1816029,1,3,Partly furnished,"                                        1,076 sqft                          /              100 sqm                      ",Balcony - Central A/C - Pets Allowed - Security - Shared Gym - Shared Pool,Doha Avenue Trading , Tower 19 - Porto Arabia - The Pearl - Doha
"13,500 QAR Monthly",Apartment,K1DRP1,1,2,Furnished,"                                        1,173 sqft                          /              109 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Maid Service - Security - Shared Gym - Shared Pool - Shared Spa - View of Water,Hilton Doha The Pearl Residences, Hilton Doha The Pearl Residences - Abraj Quartiers - The Pearl - Doha
"8,500 QAR Monthly",Apartment,HDR-12818,1,2,Partly furnished,"                                        1,475 sqft                          /              137 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool,Home Dealers Real Estate, West Porto Drive - Porto Arabia - The Pearl - Doha
"8,500 QAR Monthly",Apartment,APM210,1,1,Partly furnished,"                                        1,399 sqft                          /              130 sqm                      ",Built in Wardrobes,Sloanes Real Estate Brokers, Tower 8 - Porto Arabia - The Pearl - Doha
"6,500 QAR Monthly",Apartment,BIH-JH-0926,1,2,Furnished,                                        807 sqft                          /              75 sqm                      ,Central A/C - Concierge - Covered Parking - Kitchen Appliances - Maid Service - Private Jacuzzi - Private Pool - Security - Shared Gym - Shared Pool,Be In Homes Real Estate, Al Sadd Road - Al Sadd - Doha
"7,500 QAR Monthly",Hotel Apartments,EzdanHotel-1Bedroom-FF-1mo.,1,1,Furnished,                                        775 sqft                          /              72 sqm                      ,Central A/C - Kitchen Appliances - Security - Shared Gym - Shared Pool,Ezdan Real Estate, Ezdan Hotel and Suites - West Bay - Doha
"4,300 QAR Monthly",Apartment,CAP04MMR - 104,1,1,Furnished,                                        538 sqft                          /              50 sqm                      ,Built in Wardrobes - Central A/C - Kitchen Appliances - Shared Pool,Capital One Trading, Al Maamoura - Al Maamoura - Doha
"9,000 QAR Monthly",Apartment,AP12SWL3-32,1,1,Furnished,                                        883 sqft                          /              82 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Maid Service - Pets Allowed - Security - Shared Gym - Shared Pool - View of Landmark,FGREALTY Qatar, Souq waqif - Souq Waqif - Al Jasra - Doha
"7,500 QAR Monthly",Apartment,hudaybiya-1908049,1,2,Unfurnished,"                                        1,615 sqft                          /              150 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Covered Parking,Hudaybiya Property Consultant , East Porto Drive - Porto Arabia - The Pearl - Doha
"9,500 QAR Monthly",Apartment,2093,1,2,Partly furnished,"                                        1,238 sqft                          /              115 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,25 Spaces Real Estate, East Porto Drive - Porto Arabia - The Pearl - Doha
"3,500 QAR Monthly",Apartment,P011 - 113,1,1,Unfurnished,                                        646 sqft                          /              60 sqm                      ,,AQAR Real Estate Development & Investment, Old Al Ghanim - Al Ghanim - Doha
"9,000 QAR Monthly",Apartment,bhomesqa-1887682,1,2,Furnished,"                                        1,464 sqft                          /              136 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Maid Service - Security - Shared Gym - Shared Pool - View of Water,Better Homes Qatar, Tower 7 (Ferrari Tower) - Porto Arabia - The Pearl - Doha
"4,500 QAR Monthly",Apartment,opal-Najma4.5k,1,2,Furnished,                                        807 sqft                          /              75 sqm                      ,Built in Wardrobes - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym,Opal Real Estate W.L.L, Najma Street - Najma - Doha
"8,000 QAR Monthly",Apartment,mtcqatar-1897701,1,2,Partly furnished,"                                        1,475 sqft                          /              137 sqm                      ",Balcony - Central A/C - Shared Gym - Shared Pool,MTC Qatar , Tower 21 - Porto Arabia - The Pearl - Doha
"10,700 QAR Monthly",Apartment,bhomesqa-1905889,1,2,Furnished,"                                        1,238 sqft                          /              115 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark - View of Water,Better Homes Qatar, Viva Central - Viva Bahriyah - The Pearl - Doha
"9,000 QAR Monthly",Apartment,PRR-0350,1,2,Unfurnished,"                                        1,485 sqft                          /              138 sqm                      ",Balcony - Barbecue Area - Built in Wardrobes - Central A/C - Children's Play Area - Children's Pool - Concierge - Covered Parking - Kitchen Appliances - Lobby in Building - Pets Allowed - Security - Shared Gym - Shared Pool - View of Landmark - View of Water - Walk-in Closet,PRER Group LLC, La Croisette - Porto Arabia - The Pearl - Doha
"9,000 QAR Monthly",Apartment,L1728DA,1,2,Furnished,"                                        1,399 sqft                          /              130 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Children's Play Area - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool,Gulf Avenues Real Estate, East Porto Drive - Porto Arabia - The Pearl - Doha
"7,000 QAR Monthly",Apartment,4029,1,2,Partly furnished,"                                        1,130 sqft                          /              105 sqm                      ",Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water - Walk-in Closet,25 Spaces Real Estate, West Porto Drive - Porto Arabia - The Pearl - Doha
"6,250 QAR Monthly",Apartment,maxam-1916286,1,1,Furnished,                                        753 sqft                          /              70 sqm                      ,Balcony - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool,Maxam Business Solution, Al Sadd Road - Al Sadd - Doha
"9,000 QAR Monthly",Apartment,wcp_sys141,1,2,Partly furnished,"                                        1,475 sqft                          /              137 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark - View of Water,World Class Properties, West Porto Drive - Porto Arabia - The Pearl - Doha
"10,000 QAR Monthly",Apartment,VB7-1BR/7,1,1,Unfurnished,"                                        1,464 sqft                          /              136 sqm                      ",Central A/C - Covered Parking - Shared Gym,Al Asmakh Real Estate, Regency Pearl 3 - Viva Bahriyah - The Pearl - Doha
"10,500 QAR Monthly",Apartment,BIH-KM-032,1,2,Unfurnished,                                        861 sqft                          /              80 sqm                      ,Central A/C - Concierge - Covered Parking - Kitchen Appliances - Maid Service - Security - Shared Gym - Shared Pool - Shared Spa - View of Water,Be In Homes Real Estate, City Center Towers - West Bay - Doha
"9,500 QAR Monthly",Apartment,AA - 658,1,2,Furnished,                                        807 sqft                          /              75 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Lobby in Building - Security - Shared Gym - Shared Pool - Shared Spa - View of Landmark - View of Water,Realtors, La Croisette - Porto Arabia - The Pearl - Doha
"8,500 QAR Monthly",Apartment,AP12PAL2-28,1,1,Furnished,"                                        1,367 sqft                          /              127 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark - View of Water,FGREALTY Qatar, Marina Gate - Porto Arabia - The Pearl - Doha
"8,000 QAR Monthly",Apartment,VB7/1BR--,1,1,Unfurnished,"                                        1,023 sqft                          /              95 sqm                      ",Central A/C - Covered Parking - Shared Gym - Shared Pool,Al Asmakh Real Estate, Regency Pearl 3 - Viva Bahriyah - The Pearl - Doha
"10,000 QAR Monthly",Apartment,bhomesqa-1879348,1,2,Partly furnished,                                        947 sqft                          /              88 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Kitchen Appliances - Security - Walk-in Closet,Better Homes Qatar, Murano - Qanat Quartier - The Pearl - Doha
"4,300 QAR Monthly",Apartment,CAP04MMR - 101.,1,1,Furnished,"                                        1,076 sqft                          /              100 sqm                      ",Built in Wardrobes - Kitchen Appliances - Shared Pool,Capital One Trading, Al Maamoura - Al Maamoura - Doha
"11,500 QAR Monthly",Apartment,abhome-1880565,1,1,Furnished,                                        872 sqft                          /              81 sqm                      ,Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - Shared Spa,ABHome Real Estate, West Bay Tower - West Bay - West Bay - Doha
"8,000 QAR Monthly",Apartment,TAG-0103,1,1,Partly furnished,"                                        1,399 sqft                          /              130 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Pets Allowed - Security - Shared Pool - View of Water,The Agency, West Porto Drive - Porto Arabia - The Pearl - Doha
"8,000 QAR Monthly",Apartment,bhomesqa-1840484,1,2,Partly furnished,"                                        1,399 sqft                          /              130 sqm                      ",Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - View of Water - Walk-in Closet,Better Homes Qatar, Tower 14 - Porto Arabia - The Pearl - Doha
"4,900 QAR Monthly",Apartment,CAP15AMGL - 004.,1,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Built in Wardrobes - Central A/C - Kitchen Appliances - Security,Capital One Trading, Quraish Street - Umm Ghuwailina - Doha
"15,000 QAR Monthly",Apartment,kempinski-1591275,1,1,Furnished,                                        775 sqft                          /              72 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Maid Service - Private Gym - Private Pool - Security - Shared Gym - Shared Pool,Kempinski Residences & Suites Doha, Kempinski Residences and Suites - West Bay - Doha
"4,250 QAR Monthly",Apartment,CAP19MGL - 002.,1,1,Furnished,                                        592 sqft                          /              55 sqm                      ,Built in Wardrobes - Central A/C - Covered Parking - Kitchen Appliances,Capital One Trading, Al Themar Street - Umm Ghuwailina - Doha
"7,500 QAR Monthly",Apartment,apex-1737505,1,2,Partly furnished,"                                        1,184 sqft                          /              110 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - View of Water,Apex Real Estate, Tower 21 - Porto Arabia - The Pearl - Doha
"8,500 QAR Monthly",Apartment,AZ_R01,1,2,Furnished,                                        969 sqft                          /              90 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking,Global Horizon , Gondola - Qanat Quartier - The Pearl - Doha
"10,000 QAR Monthly",Apartment,9056,1,2,Furnished,"                                        1,216 sqft                          /              113 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water - Walk-in Closet,25 Spaces Real Estate, West Porto Drive - Porto Arabia - The Pearl - Doha
"4,300 QAR Monthly",Apartment,CAP63DJ - 003/,1,1,Furnished,                                        592 sqft                          /              55 sqm                      ,Built in Wardrobes - Central A/C - Kitchen Appliances,Capital One Trading, Hadramout Street - Doha Al Jadeed - Doha
"7,500 QAR Monthly",Apartment,KP0006,1,1,Partly furnished,                                        11 sqft                          /              1 sqm                      ,Concierge - Shared Gym - Shared Pool - Study,Key Properties, Two Porto Arabia - Porto Arabia - The Pearl - Doha
"11,000 QAR Monthly",Apartment,LMCW-A506,1,2,Furnished,                                        861 sqft                          /              80 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Maid Service - Security - Shared Gym - Shared Pool - Shared Spa,Le Mirage City Walk, Al Sadd Road - Al Sadd - Doha
"9,500 QAR Monthly",Apartment,mtcqatar-1762213,1 + Maids Room,2,Furnished,"                                        1,615 sqft                          /              150 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Maids Room - Pets Allowed - Security - Shared Gym - Shared Pool - View of Landmark - View of Water - Walk-in Closet,MTC Qatar , Tower 29 - Porto Arabia - The Pearl - Doha
"10,500 QAR Monthly",Apartment,APM12VBL4-77,1,1,Furnished,"                                        1,378 sqft                          /              128 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark - View of Water,FGREALTY Qatar, Viva West - Viva Bahriyah - The Pearl - Doha
"11,000 QAR Monthly",Apartment,bhomesqa-1805450,1,2,Furnished,"                                        1,292 sqft                          /              120 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,Better Homes Qatar, Bilal Pearl Suites - Viva Bahriyah - The Pearl - Doha
"3,250 QAR Monthly",Apartment,maxam-1805016,1,1,Unfurnished,                                        753 sqft                          /              70 sqm                      ,Pets Allowed - Security,Maxam Business Solution, Wholesale Market Street - Abu Hamour - Doha
"8,500 QAR Monthly",Apartment,BIH-KM-041,1,2,Partly furnished,"                                        1,076 sqft                          /              100 sqm                      ",Balcony - Central A/C - Kitchen Appliances - Pets Allowed - Private Pool - Security - Shared Gym - Shared Pool - Shared Spa - View of Landmark - View of Water,Be In Homes Real Estate, Viva West - Viva Bahriyah - The Pearl - Doha
"9,500 QAR Monthly",Apartment,coreo-1184762,1,1,Partly furnished,"                                        1,389 sqft                          /              129 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Shared Gym - Shared Pool - View of Water,Coreo Real Estate , Tower 28 - Porto Arabia - The Pearl - Doha
"10,000 QAR Monthly",Apartment,A1534817,1,2,Furnished,"                                        1,356 sqft                          /              126 sqm                      ",Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - Shared Spa - View of Water,Fookis Real Estate, West Porto Drive - Porto Arabia - The Pearl - Doha
"8,500 QAR Monthly",Apartment,TPPATO1BS,1,2,Partly furnished,"                                        1,184 sqft                          /              110 sqm                      ",Balcony - Central A/C - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,MS Properties, Marina Gate - Porto Arabia - The Pearl - Doha
"8,770 QAR Monthly",Apartment,TPV1BF,1,2,Furnished,"                                        1,227 sqft                          /              114 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool,MS Properties, Viva West - Viva Bahriyah - The Pearl - Doha
"10,000 QAR Monthly",Townhouse,TH211T31Jurgis,1,2,Partly furnished,"                                        1,292 sqft                          /              120 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Covered Parking - Kitchen Appliances - Pets Allowed,Maroon Homes, Porto Arabia Townhouses - Porto Arabia - The Pearl - Doha
"11,500 QAR Monthly",Apartment,AP4486,1,1,Partly furnished,"                                        1,345 sqft                          /              125 sqm                      ",,Sloanes Real Estate Brokers, Tower 31 - Porto Arabia - The Pearl - Doha
"11,000 QAR Monthly",Apartment,BIH-KM-027,1,2,Unfurnished,                                        872 sqft                          /              81 sqm                      ,Built in Wardrobes - Concierge - Covered Parking - Kitchen Appliances - Private Pool - Security - Shared Gym - Shared Pool - View of Landmark,Be In Homes Real Estate, City Center Towers - West Bay - Doha
"10,000 QAR Monthly",Apartment,TPG-R-1292,1,2,Furnished,                                        969 sqft                          /              90 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - View of Water,The Pearl Gates, Chateau - Qanat Quartier - The Pearl - Doha
"8,770 QAR Monthly",Apartment,TPV1BF,1,2,Furnished,"                                        1,227 sqft                          /              114 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool,MS Properties, Viva West - Viva Bahriyah - The Pearl - Doha
"11,000 QAR Monthly",Apartment,bhomesqa-1805450,1,2,Furnished,"                                        1,292 sqft                          /              120 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,Better Homes Qatar, Bilal Pearl Suites - Viva Bahriyah - The Pearl - Doha
"3,250 QAR Monthly",Apartment,maxam-1805016,1,1,Unfurnished,                                        753 sqft                          /              70 sqm                      ,Pets Allowed - Security,Maxam Business Solution, Wholesale Market Street - Abu Hamour - Doha
"15,000 QAR Monthly",Apartment,kempinski-1591275,1,1,Furnished,                                        775 sqft                          /              72 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Maid Service - Private Gym - Private Pool - Security - Shared Gym - Shared Pool,Kempinski Residences & Suites Doha, Kempinski Residences and Suites - West Bay - Doha
"4,250 QAR Monthly",Apartment,CAP19MGL - 002.,1,1,Furnished,                                        592 sqft                          /              55 sqm                      ,Built in Wardrobes - Central A/C - Covered Parking - Kitchen Appliances,Capital One Trading, Al Themar Street - Umm Ghuwailina - Doha
"8,500 QAR Monthly",Apartment,BIH-KM-041,1,2,Partly furnished,"                                        1,076 sqft                          /              100 sqm                      ",Balcony - Central A/C - Kitchen Appliances - Pets Allowed - Private Pool - Security - Shared Gym - Shared Pool - Shared Spa - View of Landmark - View of Water,Be In Homes Real Estate, Viva West - Viva Bahriyah - The Pearl - Doha
"9,500 QAR Monthly",Apartment,coreo-1184762,1,1,Partly furnished,"                                        1,389 sqft                          /              129 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Shared Gym - Shared Pool - View of Water,Coreo Real Estate , Tower 28 - Porto Arabia - The Pearl - Doha
"8,000 QAR Monthly",Apartment,2039,1,2,Furnished,"                                        1,130 sqft                          /              105 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,25 Spaces Real Estate, West Porto Drive - Porto Arabia - The Pearl - Doha
"8,000 QAR Monthly",Apartment,loftbureau-1951068,1,2,Partly furnished,"                                        1,076 sqft                          /              100 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Pool - View of Water,The Loft Bureau Real Estate, Viva West - Viva Bahriyah - The Pearl - Doha
"9,000 QAR Monthly",Apartment,AP12SWL4-32,1,1,Furnished,                                        883 sqft                          /              82 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark - View of Water,FGREALTY Qatar, Souq waqif - Souq Waqif - Al Jasra - Doha
"8,250 QAR Monthly",Apartment,VB11/1BR-10,1,2,Partly furnished,"                                        1,238 sqft                          /              115 sqm                      ",Balcony - Central A/C - Kitchen Appliances - Pets Allowed - Security - Shared Pool - View of Water,EFS Facilities services Qatar WLL, Tower 11 - Viva Bahriyah - The Pearl - Doha
"4,500 QAR Monthly",Apartment,AP2391.,1,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Central A/C - Concierge, Capstone Property, Regency Residence Musheireb - Regency Residence Musheireb - Musheireb - Doha
"8,000 QAR Monthly",Apartment,VB26-1B,1,1,Unfurnished,"                                        1,152 sqft                          /              107 sqm                      ",Central A/C - Covered Parking - Shared Gym - Shared Pool,Al Asmakh Real Estate, Tower 26 - Viva Bahriyah - The Pearl - Doha
"10,500 QAR Monthly",Apartment,nelsonpark-1949231,1,2,Partly furnished,                                        904 sqft                          /              84 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - View of Landmark - View of Water - Walk-in Closet,NelsonPark Property , Viva West - Viva Bahriyah - The Pearl - Doha
"9,000 QAR Monthly",Apartment,mtcqatar-1952555,1,2,Partly furnished,"                                        1,475 sqft                          /              137 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Kitchen Appliances - Shared Gym - Shared Pool - Walk-in Closet,MTC Qatar , La Croisette - Porto Arabia - The Pearl - Doha
"9,000 QAR Monthly",Apartment,HDR-21985,1,2,Furnished,"                                        1,378 sqft                          /              128 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool,Home Dealers Real Estate, West Porto Drive - Porto Arabia - The Pearl - Doha
"10,200 QAR Monthly",Apartment,VIVA_4,1,2,Furnished,"                                        1,238 sqft                          /              115 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark - View of Water,World Class Properties, Viva West - Viva Bahriyah - The Pearl - Doha
"7,500 QAR Monthly",Apartment,bhomesqa-1951829,1,2,Partly furnished,                                        947 sqft                          /              88 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,Better Homes Qatar, Tower 3 - Porto Arabia - The Pearl - Doha
"7,000 QAR Monthly",Apartment,O-1855,1,2,Partly furnished,                                        947 sqft                          /              88 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Shared Gym - Shared Pool - View of Water,One Percent Real Estate , East Porto Drive - Porto Arabia - The Pearl - Doha
"8,500 QAR Monthly",Apartment,HDR-16592,1,2,Furnished,"                                        1,216 sqft                          /              113 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,Home Dealers Real Estate, West Porto Drive - Porto Arabia - The Pearl - Doha
"8,572 QAR Monthly",Apartment,coreo-1952285,1,1,Partly furnished,"                                        1,270 sqft                          /              118 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Shared Gym - Shared Pool - View of Water,Coreo Real Estate , Viva Central - Viva Bahriyah - The Pearl - Doha
"9,500 QAR Monthly",Apartment,AP5715,1,2,Partly furnished,"                                        1,615 sqft                          /              150 sqm                      ",,MD Properties, Mercato - Qanat Quartier - The Pearl - Doha
